"idhod","hodnota","stapro_kod","typezar_cis","typezar_kod","pnet_cis","pnet_kod","pocdospvdom_cis","pocdospvdom_kod","pocdetivdom_cis","pocdetivdom_kod","velskupobce_cis","velskupobce_kod","kvartilcpdom_cis","kvartilcpdom_kod","rok","uzemi_cis","uzemi_kod","uzemi_txt","stapro_txt","typezar_txt","pnet_text","pocdospvdom_txt","pocdetivdom_txt","velskupobce_txt","kvartilcpdom_txt"
"916838173","47.5","7640",,,,,,,,,"7700","441000645000000",,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,,,,"10000 – 49999",
"916836534","12.6","7640",,,,,,,,,,,"7700","400000610025000","2009","97","19","Česká republika","Domácností s přístupem k internetu",,,,,,"první (nejnižší) kvartil"
"916837846","42.7","7640",,,"5725","02",,,,,,,,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,,
"916837921","37","7640",,,"5725","02",,,"7700","400000600001000",,,,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,"0",,
"916836826","10.9","7640",,,"5725","02",,,,,,,"7700","400000610025000","2009","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,,"první (nejnižší) kvartil"
"916838082","45.7","7640",,,,,,,,,"7700","399999632000000",,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,,,,"do 1999",
"916836521","55.9","7640",,,,,,,,,"7700","445000799999000",,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,,,,"50000 a více",
"916837592","49.2","7640",,,,,,,,,,,,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,,,,,
"916838069","84.4","7640",,,,,"7700","400003799999000","7700","400001799999000",,,,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,,"3 a více","1 a více",,
"916836929","35.7","7640",,,"5725","02",,,,,,,"7700","410025610050000","2009","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,,"druhý kvartil"
"916836608","39.9","7640",,,,,,,,,,,"7700","410025610050000","2009","97","19","Česká republika","Domácností s přístupem k internetu",,,,,,"druhý kvartil"
"916837702","20.8","7640",,,,,"7700","400001600002000","7700","400000600001000",,,,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,,"1","0",,
"916837717","38.3","7640",,,,,"7700","400002600003000","7700","400000600001000",,,,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,,"2","0",,
"916838089","66.9","7640",,,"5725","02",,,"7700","400001799999000",,,,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,"1 a více",,
"916837901","74.4","7640",,,,,,,"7700","400001799999000",,,,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,,,"1 a více",,
"916836649","39.4","7640",,,"5725","02",,,,,"7700","432000641000000",,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,"2000 – 9999",
"916836710","43.7","7640",,,"5725","02",,,,,"7700","441000645000000",,,"2009","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,"10000 – 49999",
